year,Base case diesel consumed,Modeled residential energy efficiency
2017,66926.50642,57946.3932485
2018,65756.5308967,56776.4177251
2019,64586.5553733,55606.4422017
2020,63416.5798499,54436.4666783
2021,63416.5798499,54436.4666783
2022,62246.6043265,53266.4911549
2023,61076.6288031,52096.5156316
2024,59906.6532797,50926.5401082
2025,58736.6777563,49756.5645848
2026,57566.7022329,48586.5890614
2027,56396.7267095,47416.613538
2028,55226.7511862,46246.6380146
2029,54056.7756628,45076.6624912
2030,52886.8001394,43906.6869678
2031,51716.824616,42736.7114444
2032,51716.824616,42736.7114444
2033,50546.8490926,41566.7359211
2034,50546.8490926,41566.7359211
2035,49376.8735692,40396.7603977
2036,48206.8980458,39226.7848743
