year,Base case diesel consumed,Modeled residential ashp
2017,8582.20992813,-45632.2151079
2018,8582.20992813,-45632.2151079
2019,8749.63607394,-45464.7889621
2020,8749.63607394,-45464.7889621
2021,8917.06221976,-45297.3628163
2022,8917.06221976,-45297.3628163
2023,8917.06221976,-45297.3628163
2024,9084.48836557,-45129.9366705
2025,9084.48836557,-45129.9366705
2026,9084.48836557,-45129.9366705
2027,9084.48836557,-45129.9366705
2028,9251.91451138,-44962.5105247
2029,9251.91451138,-44962.5105247
2030,9251.91451138,-44962.5105247
2031,9251.91451138,-44962.5105247
