year,Base case cost,Modeled non-residential energy efficiency
2017,518449.291841,516527.042862
2018,559829.328204,553049.891942
2019,615692.377294,602724.877966
2020,641554.90002,625226.766832
2021,659141.415474,640248.482068
2022,672589.927292,651540.639913
2023,680865.934565,658164.951188
2024,689141.941837,664809.83953
2025,697417.94911,671474.822715
2026,708797.45911,680972.780344
2027,718107.967291,688614.334863
2028,725349.473655,694399.037086
2029,735694.482745,703015.366059
2030,741901.4882,707898.40873
2031,752246.497291,716550.014992
