year,Base case diesel consumed,Modeled residential energy efficiency
2017,54214.4249276,42257.3970383
2018,54214.4249276,42257.3970383
2019,55272.0676897,43315.0398004
2020,55272.0676897,43315.0398004
2021,56329.7104518,44372.6825625
2022,56329.7104518,44372.6825625
2023,56329.7104518,44372.6825625
2024,57387.3532139,45430.3253245
2025,57387.3532139,45430.3253245
2026,57387.3532139,45430.3253245
2027,57387.3532139,45430.3253245
2028,58444.9959759,46487.9680866
2029,58444.9959759,46487.9680866
2030,58444.9959759,46487.9680866
2031,58444.9959759,46487.9680866
