year,Base case cost,Koliganek wind diesel and heat recovery,Modeled wind power
2017,254192.940383,,
2018,280490.136807,,
2019,316821.033256,,
2020,333847.721441,,
2021,345300.23487,,
2022,355215.236781,,
2023,361432.050548,,
2024,367678.538845,,
2025,373424.269469,,
2026,381686.771061,,
2027,388127.998452,,
2028,394383.760039,,
2029,401532.539474,,
2030,406629.139783,,
2031,413820.576353,,
2032,419924.25598,,
2033,427787.078763,,
2034,433839.755294,,
2035,439071.74564,,
2036,447622.646558,,
2037,452223.125839,,
2038,463390.949259,,
