year,Base case cost,Modeled solar power (pv)
2016,218834.812079,223535.954173
2017,254192.940383,258232.24366
2018,280490.136807,284019.865762
2019,316821.033256,319721.086226
2020,333847.721441,336396.340489
2021,345300.23487,347577.524599
2022,355215.236781,357263.226058
2023,361432.050548,363300.762418
2024,367678.538845,369372.292968
2025,373424.269469,374947.2922
2026,381686.771061,383016.909943
2027,388127.998452,389287.104751
2028,394383.760039,395393.175435
2029,401532.539474,402370.335257
2030,406629.139783,407333.319517
2031,413820.576353,414360.903425
2032,419924.25598,420296.275969
2033,427787.078763,427994.739731
2034,433839.755294,433886.924095
2035,439071.74564,438994.815357
