year,Base case cost,Modeled biomass for heat (pellet)
2017,162141.458592,192019.274093
2018,180817.718592,205342.092342
2019,207928.418592,224681.667219
2020,220580.078592,233706.802162
2021,229616.978592,240153.327121
2022,236244.038592,244880.778758
2023,240461.258592,247889.157072
2024,244678.478592,250897.535386
2025,248895.698592,253905.913701
2026,254920.298592,258203.597007
2027,259739.978592,261641.743652
2028,263354.738592,264220.353635
2029,268776.878592,268088.268611
2030,271789.178592,270237.110264
2031,277813.778592,274534.79357
2032,,
2033,,
2034,,
2035,,
2036,,
