year,Base case cost,Modeled diesel efficiency
2019,36543.009824,190045.487614
2020,39092.5221373,192363.22608
2021,40913.6023611,194018.753557
2022,42249.0611919,195232.807039
2023,43098.8986297,196005.386528
2024,43948.7360674,196777.966017
2025,44798.5735052,197550.545506
2026,46012.6269877,198654.23049
2027,46983.8697738,199537.178477
2028,47712.3018633,200199.389468
2029,48804.9499975,201192.705953
2030,49411.9767388,201744.548445
2031,50626.0302213,202848.233429
2032,51840.0837039,203951.918414
2033,53054.1371864,205055.603398
2034,54268.1906689,206159.288382
2035,55118.0281067,206931.867871
2036,56332.0815892,208035.552855
2037,57181.919027,208808.132344
2038,58517.3778578,210022.185826
