year,Base case diesel consumed,Modeled diesel efficiency
2019,10083.3333333,9166.66666667
2020,10083.3333333,9166.66666667
2021,10166.6666667,9242.42424242
2022,10166.6666667,9242.42424242
2023,10166.6666667,9242.42424242
2024,10166.6666667,9242.42424242
2025,10166.6666667,9242.42424242
2026,10166.6666667,9242.42424242
2027,10166.6666667,9242.42424242
2028,10166.6666667,9242.42424242
2029,10166.6666667,9242.42424242
2030,10166.6666667,9242.42424242
2031,10166.6666667,9242.42424242
2032,10166.6666667,9242.42424242
2033,10166.6666667,9242.42424242
2034,10166.6666667,9242.42424242
2035,10166.6666667,9242.42424242
2036,10166.6666667,9242.42424242
2037,10166.6666667,9242.42424242
2038,10083.3333333,9166.66666667
