year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,47178.0,41664.7417753
2018,47176.0,41662.7417753
2019,47175.0,41661.7417753
2020,47174.0,41660.7417753
2021,47173.0,41659.7417753
2022,47173.0,41659.7417753
2023,47172.0,41658.7417753
2024,47172.0,41658.7417753
2025,48194.0,42680.7417753
2026,48193.0,42679.7417753
2027,48193.0,42679.7417753
2028,48193.0,42679.7417753
2029,48193.0,42679.7417753
2030,48193.0,42679.7417753
2031,48193.0,42679.7417753
2032,48193.0,42679.7417753
2033,48194.0,42680.7417753
2034,47172.0,41658.7417753
2035,47172.0,41658.7417753
2036,47173.0,41659.7417753
