year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10510.8378797,6832.04462181
2018,10509.4194292,6831.12262897
2019,10508.1770364,6830.31507369
2020,10507.0792055,6829.6014836
2021,10506.1572327,6829.00220124
2022,10505.5436939,6828.60340103
2023,10505.0813757,6828.30289421
2024,10504.9328186,6828.2063321
2025,10504.7154765,6828.0650597
2026,10504.4128355,6827.86834308
2027,10504.1489486,6827.69681657
2028,10503.7963003,6827.46759518
2029,10503.7337745,6827.42695339
2030,10503.775192,6827.45387479
2031,10504.0308886,6827.62007761
