year,Base case cost,Modeled biomass for heat (cordwood)
2017,232624.914143,241200.119797
2018,251013.692558,257088.982995
2019,276954.621766,279656.072807
2020,289213.990974,290148.45252
2021,297699.000182,297315.35029
2022,303831.490182,302413.025942
2023,308070.52939,305845.236384
2024,311844.28939,308874.580718
2025,322937.979012,319175.831978
2026,328232.50822,323574.600904
2027,333051.80822,327560.053715
2028,336425.31822,330271.73587
2029,341726.54822,334697.074094
2030,344618.12822,336994.740077
2031,349919.35822,341432.559987
2032,355702.51822,346303.19962
2033,361011.239012,350760.413785
2034,359016.28939,347864.568272
2035,362790.04939,350963.571417
2036,368458.500182,355742.21228
