year,Base case diesel consumed,Modeled residential ashp
2017,18755.4206595,-98591.7998701
2018,18928.1972467,-98419.0232828
2019,19273.7504212,-98073.4701084
2020,19446.5270084,-97900.6935212
2021,19964.8567701,-97382.3637595
2022,20137.6333573,-97209.5871723
2023,20483.1865317,-96864.0339978
2024,20655.963119,-96691.2574106
2025,21001.5162934,-96345.7042362
2026,21519.8460551,-95827.3744745
2027,21865.3992295,-95481.8213001
2028,22210.952404,-95136.2681256
2029,22383.7289912,-94963.4915384
2030,22729.2821656,-94617.938364
2031,23074.8353401,-94272.3851895
