year,Base case cost,Modeled biomass for heat (cordwood)
2017,357193.988371,408331.795707
2018,377719.708371,422487.940948
2019,406852.988371,443067.694809
2020,420095.388371,451861.265368
2021,429365.068371,457726.586114
2022,435986.268371,461647.361088
2023,441283.228371,464607.307852
2024,445255.948371,466605.876744
2025,449890.788371,469118.951596
2026,455849.868371,472638.148414
2027,460484.708371,475194.394478
2028,464457.428371,477279.330073
2029,469754.388371,480368.88761
2030,473064.988371,482001.889323
2031,479024.068371,485622.851051
2032,,
2033,,
2034,,
2035,,
2036,,
