year,Base case diesel consumed,Modeled solar power (pv)
2016,112485.563402,111583.703902
2017,112485.563402,111590.918778
2018,112485.563402,111598.075935
2019,112485.563402,111605.175835
2020,112485.563402,111612.218935
2021,112485.563402,111619.205691
2022,112485.563402,111626.136553
2023,112485.563402,111633.011968
2024,112485.563402,111639.832379
2025,112485.563402,111646.598227
2026,112485.563402,111653.309949
2027,112485.563402,111659.967976
2028,112485.563402,111666.57274
2029,112485.563402,111673.124665
2030,112557.810925,111751.871697
2031,112557.810925,111758.319211
2032,112557.810925,111764.715145
2033,112557.810925,111771.059911
2034,112557.810925,111777.353919
2035,112557.810925,111783.597575
