year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,66212.0,49214.0204465
2018,66212.0,49214.0204465
2019,66212.0,49214.0204465
2020,66212.0,49214.0204465
2021,66212.0,49214.0204465
2022,66212.0,49214.0204465
2023,66212.0,49214.0204465
2024,66212.0,49214.0204465
2025,66212.0,49214.0204465
2026,66212.0,49214.0204465
2027,66212.0,49214.0204465
2028,66212.0,49214.0204465
2029,66212.0,49214.0204465
2030,66212.0,49214.0204465
2031,66212.0,49214.0204465
2032,,
2033,,
2034,,
2035,,
2036,,
