year,Base case cost,Modeled wind power
2019,383575.771202,642654.622132
2020,406072.883882,655329.972833
2021,421820.862758,662422.934334
2022,433069.419099,665841.044362
2023,442068.264171,667491.923508
2024,448817.397975,667372.200446
2025,456691.387413,668345.1921
2026,466815.088119,671363.219741
2027,474689.077557,672600.998024
2028,481438.211362,673010.997151
2029,490437.056434,675456.832043
2030,496379.946178,675476.508165
2031,506510.149161,679125.203739
2032,516640.352145,682890.093901
2033,526770.555128,686768.455269
2034,538026.33622,691713.887302
2035,544779.804876,692942.498452
2036,554910.007859,697145.564526
2037,561663.476514,698583.05551
2038,572919.257607,703946.364677
