year,Base case diesel consumed,Modeled transmission and interties
2021,112995.125178,0.0
2022,112995.125178,0.0
2023,112995.125178,0.0
2024,112995.125178,0.0
2025,112995.125178,0.0
2026,112995.125178,0.0
2027,112995.125178,0.0
2028,112995.125178,0.0
2029,112995.125178,0.0
2030,113067.372701,0.0
2031,113067.372701,0.0
2032,113067.372701,0.0
2033,113067.372701,0.0
2034,113067.372701,0.0
2035,113067.372701,0.0
2036,113067.372701,0.0
2037,113067.372701,0.0
2038,113067.372701,0.0
2039,113139.620223,0.0
2040,113139.620223,0.0
