year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,54205.64,357195.02,423188.8,56516.8,430911.69,329044.54
2018,57300.1,377720.8,439161.77,58846.34,449037.89,339556.73
2019,61709.77,406854.17,463696.94,62195.28,474765.4,355491.82
2020,63707.92,420096.61,477936.21,63703.53,486459.72,364248.22
2021,65117.95,429366.31,487903.7,64785.21,494645.74,370377.7
2022,66126.6,435987.53,495023.34,65561.14,500492.9,374755.9
2023,66937.64,441284.51,508583.84,66191.16,505170.63,382003.59
2024,67549.26,445257.24,512922.72,66671.1,508678.93,384656.52
2025,68261.46,449892.09,517984.75,67227.91,512771.94,387751.61
2026,69157.07,455851.19,524493.06,67898.69,518034.38,391731.0
2027,69851.72,460486.04,529555.09,68416.14,522127.4,394826.08
2028,70450.75,464458.78,533893.97,68867.83,525635.69,397479.01
2029,71241.2,469755.75,531333.49,69451.74,530313.42,397084.72
2030,71737.1,473066.36,534893.31,69820.9,533237.0,399273.82
2031,72641.93,479025.46,541300.98,70512.56,538499.45,403214.2
2032,,,547708.66,,,407154.58
2033,,,545412.83,,,407024.71
2034,,,552420.64,,,411359.56
2035,,,556625.33,,,413960.47
2036,,,562932.35,,,417861.84
