year,Base case diesel consumed,Modeled wind power
2019,112485.563402,92620.093713
2020,112485.563402,92620.093713
2021,112485.563402,92620.093713
2022,112485.563402,92620.093713
2023,112485.563402,92620.093713
2024,112485.563402,92620.093713
2025,112485.563402,92620.093713
2026,112485.563402,92620.093713
2027,112485.563402,92620.093713
2028,112485.563402,92620.093713
2029,112485.563402,92620.093713
2030,112557.810925,92692.3412355
2031,112557.810925,92692.3412355
2032,112557.810925,92692.3412355
2033,112557.810925,92692.3412355
2034,112557.810925,92692.3412355
2035,112557.810925,92692.3412355
2036,112557.810925,92692.3412355
2037,112557.810925,92692.3412355
2038,112557.810925,92692.3412355
