year,annotation,Average Load
2003,,160.0
2004,,171.0
2005,,164.0
2006,,160.0
2007,,171.0
2008,,181.0
2009,,176.0
2010,,165.0
2011,,164.0
2012,,165.0
2013,,166.0
2014,,165.0
2015,,171.0
2016,start of forecast,166.0
2017,,166.0
2018,,166.0
2019,,166.0
2020,,166.0
2021,,166.0
2022,,166.0
2023,,166.0
2024,,166.0
2025,,166.0
2026,,166.0
2027,,166.0
2028,,166.0
2029,,166.0
2030,,166.0
2031,,166.0
2032,,166.0
2033,,166.0
2034,,166.0
2035,,166.0
2036,,166.0
2037,,166.0
2038,,166.0
2039,,166.0
2040,,166.0
