year,Base case cost,Modeled solar power (pv)
2016,250842.806387,260176.564977
2017,299211.59865,307936.186961
2018,334082.123305,342315.744181
2019,383575.771202,391213.768407
2020,406072.883882,413336.303572
2021,421820.862758,428769.576001
2022,433069.419099,439744.704647
2023,442068.264171,448493.381713
2024,448817.397975,455015.064671
2025,456691.387413,462658.61843
2026,466815.088119,472540.656442
2027,474689.077557,480195.059599
2028,481438.211362,486737.976969
2029,490437.056434,495519.291201
2030,496379.946178,501273.912239
2031,506510.149161,511188.452944
2032,516640.352145,521107.98752
2033,526770.555128,531032.408295
2034,538026.33622,542079.383514
2035,544779.804876,548659.817638
