year,Base case diesel consumed,Modeled residential ashp
2017,545459.84066,278768.675909
2018,553978.695647,287287.530896
2019,558238.123141,291546.958389
2020,562497.550634,295806.385883
2021,568176.787292,301485.622541
2022,569596.596457,302905.431705
2023,571016.405621,304325.24087
2024,569596.596457,302905.431705
2025,568176.787292,301485.622541
2026,566756.978128,300065.813376
2027,569596.596457,302905.431705
2028,571016.405621,304325.24087
2029,555398.504812,288707.34006
2030,544040.031496,277348.866744
2031,536940.985673,270249.820922
