year,Base case cost,Modeled biomass for heat (pellet)
2017,474119.420385,598192.455324
2018,529504.250385,637701.580697
2019,603350.690385,690380.414528
2020,640273.910385,716719.831444
2021,664889.390385,734279.442721
2022,685402.290385,748912.452118
2023,697710.030385,757692.257757
2024,707966.480385,765008.762456
2025,722325.510385,775251.869034
2026,738735.830385,786958.276552
2027,751043.570385,795738.08219
2028,763351.310385,804517.887829
2029,777710.340385,814760.994407
2030,785915.500385,820614.198166
2031,802325.820385,832320.605684
2032,,
2033,,
2034,,
2035,,
2036,,
