year,Base case cost,Modeled non-residential energy efficiency
2017,398127.304772,707354.060745
2018,467328.02652,772962.636645
2019,559595.655518,860440.737844
2020,605729.470017,904179.788444
2021,636485.34635,933339.15551
2022,662115.243294,957638.628066
2023,677493.18146,972218.311599
2024,690308.129932,984368.047876
2025,708249.057793,1001377.67867
2026,728752.975348,1020817.25671
2027,744130.913514,1035396.94024
2028,759508.85168,1049976.62378
2029,777449.779541,1066986.25456
2030,787701.738319,1076706.04359
2031,808205.655874,1096145.62163
