year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,18324.88,2950318.09,4689218.07,61124.48,1803764.85,1539576.05
2018,20437.57,3295250.19,5074507.61,61711.71,1821877.35,1552187.65
2019,23373.5,3773704.39,5616913.29,62537.78,1847001.14,1572148.74
2020,24776.59,4007368.06,5871729.03,62920.25,1859270.9,1579686.13
2021,25680.47,4163143.85,6030001.11,63154.34,1867450.74,1582257.0
2022,26373.23,4285539.11,6149218.12,63327.96,1873877.75,1583308.48
2023,26849.63,4374553.84,6229753.21,63436.67,1878551.95,1582852.91
2024,27182.27,4441314.9,6284528.0,63502.55,1882057.59,1581393.54
2025,27639.46,4530329.63,6356787.1,63601.64,1886731.78,1579422.15
2026,28154.98,4630471.21,6440599.59,63716.25,1891990.25,1577908.82
2027,28590.29,4719485.94,6511034.39,63805.27,1896664.45,1575877.14
2028,28884.35,4786246.99,6555930.01,63852.82,1900170.09,1572848.99
2029,29427.01,4886388.57,6644452.8,63990.88,1905428.56,1572733.64
2030,29687.82,4942022.78,6683251.65,64042.94,1908349.93,1570670.09
2031,30273.87,5053291.2,6782650.62,64188.89,1914192.67,1570990.42
2032,,,6861252.79,,,1569304.91
2033,,,6950952.27,,,1568062.39
2034,,,7039546.11,,,1566783.33
2035,,,7099268.09,,,1565563.72
2036,,,7194272.15,,,1565738.83
