year,Base case cost,Modeled diesel efficiency
2019,162676.83375,339732.956011
2020,174257.218526,350260.578534
2021,181977.475043,357278.993549
2022,188043.390877,362793.46249
2023,192454.96603,366803.985356
2024,195763.647394,369811.877505
2025,200175.222547,373822.400371
2026,205138.244594,378334.238596
2027,209549.819746,382344.761461
2028,212858.501111,385352.653611
2029,217821.523157,389864.491835
2030,220578.757628,392371.068626
2031,226093.226568,397384.222209
2032,231056.248615,401896.060433
2033,236570.717556,406909.214015
2034,242085.186496,411922.367598
2035,245945.314755,415431.575106
2036,251459.783695,420444.728688
2037,254768.46506,423452.620838
2038,260834.380895,428967.089778
