year,population
2003,2313.0
2004,2242.0
2005,2219.0
2006,2241.0
2007,2255.0
2008,2320.0
2009,2310.0
2010,2381.0
2011,2381.0
2012,2387.0
2013,2390.0
2014,2391.0
2015,2391.0
2016,2389.0
2017,2385.0
2018,2382.0
2019,2378.0
2020,2374.0
2021,2368.0
2022,2362.0
2023,2355.0
2024,2348.0
2025,2340.0
2026,2331.0
2027,2322.0
2028,2313.0
2029,2307.0
2030,2301.0
2031,2294.0
2032,2285.0
2033,2276.0
2034,2267.0
2035,2260.0
2036,2255.0
2037,2252.0
2038,2249.0
2039,2247.0
2040,2245.0
