year,Base case cost,Modeled biomass for heat (cordwood)
2017,9121.98514716,
2018,9866.99514716,
2019,10868.9051472,
2020,11357.0151472,
2021,11690.9851472,
2022,11947.8851472,
2023,12127.7151472,
2024,12256.1651472,
2025,12435.9951472,
2026,12667.2051472,
2027,12847.0351472,
2028,12975.4851472,
2029,13181.0051472,
2030,13309.4551472,
2031,13540.6651472,
2032,,
2033,,
2034,,
2035,,
2036,,
