year,Base case cost,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,77586.7837111,,,,,,,,
2021,80498.3624116,134888.524244,,266108.592626,292339.372899,258964.454137,301600.04572,2744425.03924,539189.233612
2022,82369.0140118,135577.232064,,262702.937298,291622.522914,259596.276963,302105.457446,2742357.36865,538529.081804
2023,83582.5908564,136002.846389,,260398.97619,291111.098702,259983.967957,302408.874375,2740945.39736,538055.456377
2024,84318.4475343,136147.731177,,258496.679404,290553.204588,260100.410248,302462.111116,2739712.09294,537525.911351
2025,85161.5817233,136202.902846,,255822.27564,289671.33772,260117.658587,302395.085388,2737929.67899,536681.843268
2026,86733.8677458,136790.235718,,252997.639222,289087.372422,260657.587297,302829.671516,2736220.02985,536145.126451
2027,87833.4622348,137101.867687,,250579.695759,288461.965854,260931.295937,303019.106089,2734694.07621,535557.518668
2028,88688.3299016,137267.268149,,248356.717717,287807.457597,261063.513485,303077.583829,2733251.58926,534936.084347
2029,89603.5411684,137296.021581,,245314.698788,286782.042675,261049.603171,302968.86519,2731213.05888,533953.193058
2030,89621.9794906,136821.983328,,243134.67589,285722.355337,260551.862837,302418.453565,2729590.52962,532917.12996
2031,91239.5232131,137356.078586,,239915.604927,284968.022607,261033.813516,302784.527403,2727597.94466,532214.770559
2032,92981.1065578,138112.70878,,237260.265832,284553.354631,261743.039548,303388.410852,2726057.59284,531847.351064
2033,94327.1040802,138473.753153,,234209.340914,283743.100832,262056.679758,303596.708479,2724121.6552,531084.345747
2034,96234.6323249,139297.832933,,231280.254474,283278.752624,262828.614959,304252.76684,2722419.05476,530671.970867
2035,97295.6739584,139669.407361,,229263.450399,282830.418333,263167.006474,304517.418546,2721182.74178,530256.710513
2036,98766.5492086,140056.834146,,225897.710964,281929.417131,263502.288681,304736.823912,2719043.48835,529407.682639
2037,99590.4069699,140289.720018,,224083.415261,281459.5241,263706.732055,304878.061736,2717898.18501,528966.138697
2038,101422.505715,141038.370297,,221078.899321,280919.746392,264403.237756,305458.690596,2716120.15507,528478.334318
2039,103255.442565,141984.849313,,218954.605975,280812.057053,265307.053025,306267.697541,2714999.35027,528413.168612
2040,105264.381582,142811.84455,,215687.238064,280233.494486,266077.163268,306911.396684,2713069.96709,527891.304221
2041,105264.381582,142811.84455,,215687.238064,280233.494486,266077.163268,306911.396684,2713069.96709,527891.304221
2042,105264.381582,142811.84455,,215687.238064,280233.494486,266077.163268,306911.396684,2713069.96709,527891.304221
2043,104829.404798,142376.867766,,215252.26128,279798.517702,265642.186484,306476.4199,2712634.99031,527456.327438
2044,104829.404798,142376.867766,,215252.26128,279798.517702,265642.186484,306476.4199,2712634.99031,527456.327438
2045,105264.381582,142811.84455,,215687.238064,280233.494486,266077.163268,306911.396684,2713069.96709,527891.304221
2046,105264.381582,142811.84455,,215687.238064,280233.494486,266077.163268,306911.396684,2713069.96709,527891.304221
2047,105699.358365,143246.821333,,216122.214847,280668.471269,266512.140051,307346.373467,2713504.94388,528326.281005
2048,105699.358365,143246.821333,,216122.214847,280668.471269,266512.140051,307346.373467,2713504.94388,528326.281005
2049,106134.335149,143681.798117,,216557.19163,281103.448052,266947.116835,307781.35025,2713939.92066,528761.257788
2050,106569.311932,144116.7749,,216992.168414,281538.424836,267382.093618,308216.327034,2714374.89744,529196.234572
