year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,4006.59,353185.0,353185.0
2004,,4006.59,387727.0,387727.0
2005,,4006.59,344557.0,344557.0
2006,,4006.59,342883.0,342883.0
2007,,4006.59,364829.0,364829.0
2008,,4006.59,377150.0,377150.0
2009,,4006.59,339609.0,339609.0
2010,,4006.59,325810.0,325810.0
2011,,4006.59,297580.0,297580.0
2012,,4006.59,296444.0,296444.0
2013,,4006.59,279073.0,279073.0
2014,start of forecast,4006.59,287000.0,287000.0
2015,,4006.59,286000.0,286000.0
2016,,4006.59,285000.0,285000.0
2017,,4006.59,284000.0,284000.0
2018,,4006.59,282000.0,282000.0
2019,,4006.59,280000.0,280000.0
2020,,4006.59,278000.0,278000.0
2021,,4006.59,276000.0,276000.0
2022,,4006.59,273000.0,273000.0
2023,,4006.59,271000.0,271000.0
2024,,4006.59,269000.0,269000.0
2025,,4006.59,266000.0,266000.0
2026,,4006.59,264000.0,264000.0
2027,,4006.59,262000.0,262000.0
2028,,4006.59,260000.0,260000.0
2029,,4006.59,257000.0,257000.0
2030,,4006.59,254000.0,254000.0
2031,,4006.59,252000.0,252000.0
2032,,4006.59,251000.0,251000.0
2033,,4006.59,249000.0,249000.0
2034,,4006.59,248000.0,248000.0
2035,,4006.59,247000.0,247000.0
2036,,4006.59,245000.0,245000.0
2037,,4006.59,244000.0,244000.0
2038,,4006.59,243000.0,243000.0
2039,,4006.59,243000.0,243000.0
2040,,4006.59,242000.0,242000.0
