year,Base case cost,Modeled biomass for heat (cordwood)
2017,67362.5534599,82318.6590093
2018,75140.7934599,88069.9816187
2019,86322.0134599,96337.5078697
2020,91669.5534599,100291.542164
2021,95315.6034599,102987.474637
2022,98232.4434599,105144.220615
2023,100177.00346,106582.051268
2024,101635.42346,107660.424257
2025,103579.98346,109098.254909
2026,106010.68346,110895.543225
2027,107955.24346,112333.373877
2028,109656.73346,113591.475698
2029,111844.36346,115209.035182
2030,113059.71346,116107.679339
2031,115733.48346,118084.696486
2032,,
2033,,
2034,,
2035,,
2036,,
