year,Base case cost,Modeled biomass for heat (pellet)
2017,67362.5534599,78859.8456895
2018,75140.7934599,84408.4765598
2019,86322.0134599,92384.6334359
2020,91669.5534599,96199.3171592
2021,95315.6034599,98800.2378797
2022,98232.4434599,100880.974456
2023,100177.00346,102268.132174
2024,101635.42346,103308.500462
2025,103579.98346,104695.658179
2026,106010.68346,106429.605326
2027,107955.24346,107816.763044
2028,109656.73346,109030.526047
2029,111844.36346,110591.078479
2030,113059.71346,111458.052053
2031,115733.48346,113365.393914
2032,,
2033,,
2034,,
2035,,
2036,,
