year,Base case cost,Modeled diesel efficiency
2019,72982.2317883,231533.391397
2020,77586.7837111,235719.34769
2021,80498.3624116,238366.237418
2022,82369.0140118,240066.829782
2023,83582.5908564,241170.081459
2024,84318.4475343,241839.042075
2025,85161.5817233,242605.527701
2026,86733.8677458,244034.878631
2027,87833.4622348,245034.509985
2028,88688.3299016,245811.662409
2029,89603.5411684,246643.672652
2030,89621.9794906,246660.434763
2031,91239.5232131,248130.929056
2032,92981.1065578,249714.186642
2033,94327.1040802,250937.820753
2034,96234.6323249,252671.937339
2035,97295.6739584,253636.520642
2036,98766.5492086,254973.679961
2037,99590.4069699,255722.641562
2038,101422.505715,257388.185875
