year,Base case diesel consumed,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,23299.3344478,,7629.33940745,,,,,,
2021,23131.7133367,12127.9992077,7461.71829631,0.0,0.0,11598.4086881,10421.5408668,0.0,0.0
2022,22880.28167,11876.567541,7210.28662961,0.0,0.0,11346.9770214,10170.1092001,0.0,0.0
2023,22712.6605588,11708.9464298,7042.66551847,0.0,0.0,11179.3559103,10002.488089,0.0,0.0
2024,22545.0394477,11541.3253187,6875.04440734,0.0,0.0,11011.7347991,9834.86697786,0.0,0.0
2025,22293.607781,11289.893652,6623.61274063,0.0,0.0,10760.3031324,9583.43531115,0.0,0.0
2026,22125.9866698,11122.2725409,6455.9916295,0.0,0.0,10592.6820213,9415.81420002,0.0,0.0
2027,21958.3655587,10954.6514297,6288.37051836,0.0,0.0,10425.0609102,9248.19308888,0.0,0.0
2028,21790.7444476,10787.0303186,6120.74940723,0.0,0.0,10257.439799,9080.57197775,0.0,0.0
2029,21539.3127809,10535.5986519,5869.31774053,0.0,0.0,10006.0081323,8829.14031105,0.0,0.0
2030,21287.8811142,10284.1669852,5617.88607382,0.0,0.0,9754.57646562,8577.70864434,0.0,0.0
2031,21120.260003,10116.5458741,5450.26496269,0.0,0.0,9586.95535449,8410.08753321,0.0,0.0
2032,21036.4494475,10032.7353185,5366.45440712,0.0,0.0,9503.14479892,8326.27697764,0.0,0.0
2033,20868.8283363,9865.11420736,5198.83329599,0.0,0.0,9335.52368778,8158.6558665,0.0,0.0
2034,20785.0177808,9781.30365179,5115.02274042,0.0,0.0,9251.71313222,8074.84531094,0.0,0.0
2035,20701.2072252,9697.49309623,5031.21218485,0.0,0.0,9167.90257665,7991.03475537,0.0,0.0
2036,20533.5861141,9529.87198509,4863.59107372,0.0,0.0,9000.28146551,7823.41364423,0.0,0.0
2037,20449.7755585,9446.06142952,4779.78051815,0.0,0.0,8916.47090995,7739.60308867,0.0,0.0
2038,20365.9650029,9362.25087396,4695.96996258,0.0,0.0,8832.66035438,7655.7925331,0.0,0.0
2039,20365.9650029,9362.25087396,4695.96996258,0.0,0.0,8832.66035438,7655.7925331,0.0,0.0
2040,20282.1544474,9278.44031839,4612.15940701,0.0,0.0,8748.84979881,7571.98197753,0.0,0.0
2041,20282.1544474,9278.44031839,4612.15940701,0.0,0.0,8748.84979881,7571.98197753,0.0,0.0
2042,20282.1544474,9278.44031839,4612.15940701,0.0,0.0,8748.84979881,7571.98197753,0.0,0.0
2043,20198.3438918,9194.62976282,4528.34885144,0.0,0.0,8665.03924324,7488.17142196,0.0,0.0
2044,20198.3438918,9194.62976282,4528.34885144,0.0,0.0,8665.03924324,7488.17142196,0.0,0.0
2045,20282.1544474,9278.44031839,4612.15940701,0.0,0.0,8748.84979881,7571.98197753,0.0,0.0
2046,20282.1544474,9278.44031839,4612.15940701,0.0,0.0,8748.84979881,7571.98197753,0.0,0.0
2047,20365.9650029,9362.25087396,4695.96996258,0.0,0.0,8832.66035438,7655.7925331,0.0,0.0
2048,20365.9650029,9362.25087396,4695.96996258,0.0,0.0,8832.66035438,7655.7925331,0.0,0.0
2049,20449.7755585,9446.06142952,4779.78051815,0.0,0.0,8916.47090995,7739.60308867,0.0,0.0
2050,20533.5861141,9529.87198509,4863.59107372,0.0,0.0,9000.28146551,7823.41364423,0.0,0.0
