year,Base case diesel consumed,Modeled non-residential ashp
2017,897272.359694,628090.651785
2018,897272.359694,628090.651785
2019,897272.359694,628090.651785
2020,897272.359694,628090.651785
2021,897272.359694,628090.651785
2022,897272.359694,628090.651785
2023,897272.359694,628090.651785
2024,897272.359694,628090.651785
2025,897272.359694,628090.651785
2026,897272.359694,628090.651785
2027,897272.359694,628090.651785
2028,897272.359694,628090.651785
2029,897272.359694,628090.651785
2030,897272.359694,628090.651785
2031,897272.359694,628090.651785
