year,Base case cost,Modeled biomass for heat (cordwood)
2017,2396903.52646,2989585.20338
2018,2684030.56646,3201891.1263
2019,3078830.24646,3493811.77032
2020,3267257.36646,3633137.53224
2021,3392875.44646,3726021.37352
2022,3500548.08646,3805636.09462
2023,3563357.12646,3852078.01525
2024,3626166.16646,3898519.93589
2025,3688975.20646,3944961.85653
2026,3769729.68646,4004672.89736
2027,3841511.44646,4057749.37809
2028,3904320.48646,4104191.29873
2029,3985074.96646,4163902.33955
2030,4029938.56646,4197075.14001
2031,4119665.76646,4263420.74092
2032,,
2033,,
2034,,
2035,,
2036,,
