year,Base case cost,Modeled biomass for heat (pellet)
2017,2396903.52646,2847031.42954
2018,2684030.56646,3051855.24076
2019,3078830.24646,3333487.98118
2020,3267257.36646,3467903.60729
2021,3392875.44646,3557514.0247
2022,3500548.08646,3634322.9539
2023,3563357.12646,3679128.16261
2024,3626166.16646,3723933.37131
2025,3688975.20646,3768738.58001
2026,3769729.68646,3826345.27692
2027,3841511.44646,3877551.22972
2028,3904320.48646,3922356.43843
2029,3985074.96646,3979963.13533
2030,4029938.56646,4011966.85583
2031,4119665.76646,4075974.29684
2032,,
2033,,
2034,,
2035,,
2036,,
