year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,897272.0,663456.009137
2018,897272.0,663456.009137
2019,897272.0,663456.009137
2020,897272.0,663456.009137
2021,897272.0,663456.009137
2022,897272.0,663456.009137
2023,897272.0,663456.009137
2024,897272.0,663456.009137
2025,897272.0,663456.009137
2026,897272.0,663456.009137
2027,897272.0,663456.009137
2028,897272.0,663456.009137
2029,897272.0,663456.009137
2030,897272.0,663456.009137
2031,897272.0,663456.009137
2032,,
2033,,
2034,,
2035,,
2036,,
