year,Base case cost,Modeled wind power
2019,1446760.44122,1517351.67
2020,1548372.37856,1567516.6504
2021,1616113.67012,1596945.42763
2022,1674177.63432,1620659.33135
2023,1708048.2801,1629634.34479
2024,1741918.92588,1638892.12719
2025,1775789.57166,1648426.05122
2026,1819337.54481,1664241.02309
2027,1858046.85427,1677313.65495
2028,1891917.50005,1687637.77451
2029,1935465.4732,1704224.42176
2030,1959658.79162,1709033.57543
2031,2008045.42845,1729110.68945
2032,2051593.40159,1746416.01543
2033,2099980.03842,1766955.44946
2034,2148366.67525,1787717.94898
2035,2182237.32103,1799681.21831
2036,2235462.62155,1823879.97598
2037,2264494.60364,1833258.03378
2038,2317719.90416,1857867.41417
