year,Base case diesel consumed,Modeled wind power
2019,483866.3683,307267.224595
2020,483866.3683,307267.224595
2021,483866.3683,307267.224595
2022,483866.3683,307267.224595
2023,483866.3683,307267.224595
2024,483866.3683,307267.224595
2025,483866.3683,307267.224595
2026,483866.3683,307267.224595
2027,483866.3683,307267.224595
2028,483866.3683,307267.224595
2029,483866.3683,307267.224595
2030,483866.3683,307267.224595
2031,483866.3683,307267.224595
2032,483866.3683,307267.224595
2033,483866.3683,307267.224595
2034,483866.3683,307267.224595
2035,483866.3683,307267.224595
2036,483866.3683,307267.224595
2037,483866.3683,307267.224595
2038,483866.3683,307267.224595
