year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.64
2001,,,1.2
2003,,,1.63
2004,,,2.25
2005,,,2.73
2006,,,3.04
2008,,,3.51
2009,,,2.48
2010,,,2.98
2011,,,3.82
2012,,,4.14
2013,,,4.09
2014,,,4.18
2016,start of forecast,1.82,2.26
2017,,2.23,2.67
2018,,2.55,2.99
2019,,2.99,3.43
2020,,3.2,3.64
2021,,3.34,3.78
2022,,3.46,3.9
2023,,3.53,3.97
2024,,3.6,4.04
2025,,3.67,4.11
2026,,3.76,4.2
2027,,3.84,4.28
2028,,3.91,4.35
2029,,4.0,4.44
2030,,4.05,4.49
2031,,4.15,4.59
2032,,4.24,4.68
2033,,4.34,4.78
2034,,4.44,4.88
2035,,4.51,4.95
2036,,4.62,5.06
2037,,4.68,5.12
2038,,4.79,5.23
2039,,4.87,5.31
2040,,4.98,5.42
