year,Base case diesel consumed,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58, 130.03 (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49, 133.01 near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2021,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2022,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2023,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2024,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2025,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2026,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2027,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2028,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2029,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2030,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
