year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58, 130.03 (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49, 133.01 near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2021,1616113.67012,37807390.991,2185322.80608,1045667.29061,1742014.41978,9772697.93998,16924562.7864,5613958.2888,2145992.65191,2046169.59253,7016520.76473,,7736929.63148,11693801.6566,12535631.9891,1937665.92339,5148415.6463,10233542.2266,1918302.68953,2052405.23909,4970332.17136,3736602.4544,5294944.49543,2023503.76723,12885635.8483,2658283.99195,4065449.62914,52982684.0872,25181035.4395,2096239.59623,37116006.5293,44567723.041,4210402.18488,5341303.69275,3189888.25449,1693458.36798,11135904.2497,1523675.4948,7339705.94645,7346634.00826
2022,1674177.63432,36982183.9035,2226478.08544,1072341.61064,1789011.93927,9558452.82864,16554456.9079,5493664.77169,2082592.97496,2086854.22773,6865581.14975,,7569823.92125,11347188.1188,12260416.5026,1947709.06659,4999443.25274,10013295.4643,1953120.06939,2061554.92174,4862364.29508,3655454.43159,5148745.93839,2034894.47306,12608520.6384,2674236.15552,3977138.21443,51838645.0564,24632046.9737,2143637.30538,36322570.4135,43605707.7269,4118481.01551,5210422.31261,3117849.66371,1738484.47509,10891253.5496,1476714.58235,7181118.80288,7185141.29667
2023,1708048.2801,36194221.8282,2245231.37577,1086142.59878,1814200.3214,9353739.31071,16200952.4455,5377910.35013,2025264.62199,2105948.27157,6720588.34814,,7409500.94485,11036033.0246,11997665.0106,1945008.96561,4864857.45993,9801962.8438,1968567.11613,2057640.0492,4758750.85739,3577459.01829,5015494.58214,2032754.54587,12342694.6766,2672301.15437,3892303.63907,50743697.2116,24107542.6677,2167376.89603,35561261.1275,42684827.235,4030299.66049,5088199.09203,3049167.9868,1762474.93422,10657667.1146,1434446.0944,7028958.40141,7030813.50475
2024,1741918.92588,35424105.1161,2264290.47634,1100045.97262,1839518.31819,9153666.95341,15855457.6342,5264809.13135,1969120.47633,2125312.31191,6578910.05289,,7252835.88577,10731220.2497,11740862.6735,1942807.02409,4733047.21986,9595452.87742,1984297.22257,2054263.70682,4657502.44444,3501248.13778,4885035.28778,2031125.92707,12082932.3195,2671020.41045,3809408.45377,49673637.6484,23594927.5206,2191344.01706,34817324.5906,41784883.6222,3944129.93402,4968646.10206,2982038.02559,1786597.79794,10429370.0378,1393043.39442,6880270.04248,6879985.25616
2025,1775789.57166,34671415.5185,2283648.21977,1114049.33251,1864962.89181,8958126.98002,15517784.7487,5154298.93119,1914132.78325,2144940.02074,6440468.5806,,7099743.01192,10432601.1465,11489870.0585,1941091.56649,4603947.48079,9393652.53475,2000303.75453,2051413.27284,4558563.62621,3426779.96525,4757302.61666,2029996.63293,11829091.4518,2670378.58966,3728407.20428,48627883.0504,23093922.8813,2215533.33575,34090353.6306,40905386.1826,3859924.68877,4851700.75944,2916423.4119,1810849.96306,10206238.3505,1352486.19061,6734972.35045,6732574.53072
2026,1819337.54481,33928156.0391,2312383.66201,1133341.60494,1899307.82071,8765101.54378,15184390.6472,5045590.13566,1858330.95984,2173572.04539,6304166.96396,,6948923.78878,10128444.986,11242002.1749,1945152.53452,4472876.94083,9194861.13535,2024444.30772,2054522.82519,4461107.20975,3353483.55641,4628197.41115,2034976.64555,11579001.2406,2677783.56673,3648659.13946,47596421.53,22599332.7615,2249496.08813,33374215.7592,40037977.5213,3776965.91908,4734932.40945,2851581.44664,1843696.89116,9985891.80285,1311232.3234,6591837.30756,6587068.6745
2027,1858046.85427,33205310.6229,2336860.88453,1150133.59652,1929385.09013,8577354.33455,14860136.022,4939716.77118,1804603.75467,2198082.11035,6171462.77394,,6802118.6722,9835988.35277,11000949.286,1947026.77784,4346700.22296,9001356.3318,2044916.44358,2055410.72086,4366239.92505,3282114.17298,4503710.14201,2037622.00869,11335574.225,2682086.44356,3571015.45333,46592860.1473,22118277.2169,2278892.52278,32677124.9494,39194006.9413,3696216.60597,4621835.6744,2788538.22077,1872432.88461,9771600.94679,1271545.95567,6452510.13065,6445538.29973
2028,1891917.50005,32502489.7429,2357073.21211,1164423.0724,1955191.87085,8394784.04555,14544846.0391,4836620.92387,1752925.31897,2218464.32216,6042283.66184,,6659247.81751,9555092.80734,10766581.5341,1946703.4227,4225356.74268,8813032.85567,2061713.9835,2054065.20486,4273910.1486,3212632.86233,4383779.86439,2037921.56158,11098678.0494,2683272.93907,3495433.81306,45616655.6432,21650496.7321,2303717.67319,31998701.9906,38373017.4347,3617632.83982,4512352.26875,2727259.86357,1897055.05329,9563250.32676,1233408.18908,6316915.03232,6307907.0187
2029,1935465.4732,31807930.1843,2386643.20922,1183994.75497,1989890.51762,8214424.31702,14233310.2416,4735152.7075,1700355.19231,2247833.16614,5915027.31903,,6518411.0352,9268244.80911,10534948.869,1952123.86581,4101860.67438,8627402.45908,2086627.00542,2058644.40372,4182907.87465,3144206.43592,4262294.18397,2044296.93265,10865135.3894,2692463.38132,3420978.33551,44653114.1381,21188352.0764,2338301.355,31329974.2777,37562745.4279,3540163.79594,4402870.96676,2666652.5239,1930263.31301,9357338.41542,1194517.0536,6183255.17882,6171951.40141
2030,1959658.79162,31144026.0962,2398306.34341,1193272.70309,2007148.09695,8041913.38881,13935441.3344,4637443.54998,1652699.15811,2259942.54048,5792688.05875,,6383176.61101,9010069.02184,10313573.92,1947373.70572,3990007.56166,8449135.64244,2096057.39344,2052797.89488,4095503.05488,3078388.04303,4151300.73428,2039872.42272,10640916.1607,2687375.60187,3349397.73352,43730044.2406,20746367.3491,2353969.50023,30687784.7276,36786389.6319,3465783.48672,4300444.79494,2608805.44838,1946649.43114,9160532.65994,1159421.55542,6054903.93803,6041896.26337
