year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,242148.57,20400421.0,0.0,20400421.0
2004,,242148.57,21189975.0,0.0,21189975.0
2005,,242148.57,22411058.0,0.0,22411058.0
2006,,242148.57,22635538.0,0.0,22635538.0
2007,,242148.57,21974570.0,0.0,21974570.0
2008,,242148.57,22563288.0,0.0,22563288.0
2009,,242148.57,21709678.0,0.0,21709678.0
2010,,242148.57,21622956.0,0.0,21622956.0
2011,,242148.57,20570403.0,0.0,20570403.0
2012,,242148.57,19934364.0,0.0,19934364.0
2013,,242148.57,20064730.0,0.0,20064730.0
2014,start of forecast,242148.57,20677000.0,70960.0,20606040.0
2015,,242148.57,20683000.0,70960.0,20612040.0
2016,,242148.57,20686000.0,70960.0,20615040.0
2017,,242148.57,20688000.0,70960.0,20617040.0
2018,,242148.57,20688000.0,70960.0,20617040.0
2019,,242148.57,20689000.0,70960.0,20618040.0
2020,,242148.57,20688000.0,70960.0,20617040.0
2021,,242148.57,20686000.0,70960.0,20615040.0
2022,,242148.57,20685000.0,70960.0,20614040.0
2023,,242148.57,20685000.0,70960.0,20614040.0
2024,,242148.57,20685000.0,70960.0,20614040.0
2025,,242148.57,20684000.0,70960.0,20613040.0
2026,,242148.57,20679000.0,70960.0,20608040.0
2027,,242148.57,20670000.0,70960.0,20599040.0
2028,,242148.57,20658000.0,70960.0,20587040.0
2029,,242148.57,20648000.0,70960.0,20577040.0
2030,,242148.57,20635000.0,70960.0,20564040.0
2031,,242148.57,20618000.0,70960.0,20547040.0
2032,,242148.57,20597000.0,70960.0,20526040.0
2033,,242148.57,20574000.0,70960.0,20503040.0
2034,,242148.57,20551000.0,70960.0,20480040.0
2035,,242148.57,20526000.0,70960.0,20455040.0
2036,,242148.57,20501000.0,70960.0,20430040.0
2037,,242148.57,20476000.0,70960.0,20405040.0
2038,,242148.57,20449000.0,70960.0,20378040.0
2039,,242148.57,20422000.0,70960.0,20351040.0
2040,,242148.57,20394000.0,70960.0,20323040.0
