year,Base case cost,Modeled wind power
2019,3251722.50335,3945706.61787
2020,3449830.93664,4098087.23001
2021,3581660.88679,4199431.96605
2022,3687213.70443,4280596.61242
2023,3753292.80308,4331433.10401
2024,3806156.082,4372102.29729
2025,3872047.33609,4422750.94432
2026,3963591.92489,4492955.88326
2027,4027891.94967,4542013.30099
2028,4078339.53479,4580266.80046
2029,4155511.10446,4639147.24167
2030,4205620.82582,4677062.87739
2031,4281181.29185,4734332.21496
2032,4368921.54758,4800732.82081
2033,4442893.98984,4856414.13462
2034,4529819.39768,4921999.89258
2035,4589859.26182,4966797.14966
2036,4675934.56085,5031532.79882
2037,4722539.98753,5065944.13986
2038,4807742.73898,5129807.24144
