year,annotation,Average Load
2003,,2091.0
2004,,2229.0
2005,,2239.0
2006,,2231.0
2007,,2241.0
2008,,2335.0
2009,,2278.0
2010,,2280.0
2011,,2105.0
2012,,2077.0
2013,,2036.0
2014,start of forecast,2122.0
2015,,2123.0
2016,,2123.0
2017,,2124.0
2018,,2124.0
2019,,2124.0
2020,,2124.0
2021,,2123.0
2022,,2123.0
2023,,2123.0
2024,,2123.0
2025,,2123.0
2026,,2123.0
2027,,2122.0
2028,,2121.0
2029,,2120.0
2030,,2118.0
2031,,2116.0
2032,,2114.0
2033,,2112.0
2034,,2110.0
2035,,2107.0
2036,,2104.0
2037,,2102.0
2038,,2099.0
2039,,2096.0
2040,,2093.0
