year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,315665.0,233407.437043
2018,315665.0,233407.437043
2019,315665.0,233407.437043
2020,315665.0,233407.437043
2021,315665.0,233407.437043
2022,315665.0,233407.437043
2023,315665.0,233407.437043
2024,315665.0,233407.437043
2025,315665.0,233407.437043
2026,315665.0,233407.437043
2027,315665.0,233407.437043
2028,315665.0,233407.437043
2029,315665.0,233407.437043
2030,315665.0,233407.437043
2031,315665.0,233407.437043
2032,,
2033,,
2034,,
2035,,
2036,,
