year,Base case cost,"Napaskiak, alaska heat recovery study"
2019,388042.408719,393778.430202
2020,401570.115187,406033.32667
2021,410825.91435,414418.255833
2022,417945.75986,420868.201343
2023,422929.651717,425383.1632
2024,427201.559023,429253.130506
2025,432185.45088,433768.092363
2026,437881.327288,438928.048771
2027,442865.219145,443443.010628
2028,447137.126451,447312.977934
2029,452833.002859,452472.934341
2030,455680.941062,455052.912545
2031,462088.802021,460857.863504
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
