year,Base case diesel consumed,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,78173.0392067,39437.8432184,65074.2769751
2020,78173.0392067,39437.8432184,65074.2769751
2021,78254.3001622,39519.1041739,65155.5379306
2022,78254.3001622,39519.1041739,65155.5379306
2023,78254.3001622,39519.1041739,65155.5379306
2024,78335.5611177,39600.3651294,65236.7988861
2025,78335.5611177,39600.3651294,65236.7988861
2026,78335.5611177,39600.3651294,65236.7988861
2027,78416.8220732,39681.626085,65318.0598416
2028,78416.8220732,39681.626085,65318.0598416
2029,78498.0830287,39762.8870405,65399.3207971
2030,78498.0830287,39762.8870405,65399.3207971
2031,78579.3439843,39844.147996,65480.5817526
2032,78579.3439843,39844.147996,65480.5817526
2033,78579.3439843,39844.147996,65480.5817526
2034,78660.6049398,39925.4089515,65561.8427082
2035,78660.6049398,39925.4089515,65561.8427082
2036,78741.8658953,40006.669907,65643.1036637
2037,78741.8658953,40006.669907,65643.1036637
2038,78823.1268508,40087.9308625,65724.3646192
