year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,71198.4550987,52875.4567731
2018,71198.4550987,52875.4567731
2019,71198.4550987,52875.4567731
2020,71198.4550987,52875.4567731
2021,71198.4550987,52875.4567731
2022,71198.4550987,52875.4567731
2023,71198.4550987,52875.4567731
2024,71198.4550987,52875.4567731
2025,71198.4550987,52875.4567731
2026,71198.4550987,52875.4567731
2027,71198.4550987,52875.4567731
2028,71198.4550987,52875.4567731
2029,71198.4550987,52875.4567731
2030,71198.4550987,52875.4567731
2031,71198.4550987,52875.4567731
