year,Base case diesel consumed,Modeled non-residential ashp
2017,135908.845359,96388.4828283
2018,137160.849614,97640.4870835
2019,139664.858125,100144.495594
2020,140916.86238,101396.499849
2021,144672.875145,105152.512615
2022,145924.879401,106404.51687
2023,148428.887911,108908.525381
2024,149680.892166,110160.529636
2025,152184.900677,112664.538146
2026,155940.913443,116420.550912
2027,158444.921953,118924.559422
2028,160948.930463,121428.567933
2029,162200.934719,122680.572188
2030,164704.943229,125184.580699
2031,167208.95174,127688.589209
