year,Base case diesel consumed,Modeled residential energy efficiency
2017,117347.220647,78188.6502604
2018,118428.23358,79269.6631937
2019,120590.259447,81431.6890604
2020,121671.27238,82512.7019938
2021,124914.31118,85755.7407938
2022,125995.324114,86836.7537271
2023,128157.34998,88998.7795938
2024,129238.362914,90079.7925272
2025,131400.38878,92241.8183939
2026,134643.42758,95484.8571939
2027,136805.453447,97646.8830606
2028,138967.479314,99808.9089273
2029,140048.492247,100889.921861
2030,142210.518114,103051.947727
2031,144372.543981,105213.973594
2032,146534.569847,107375.999461
2033,148696.595714,109538.025327
2034,150858.621581,111700.051194
2035,153020.647447,113862.077061
2036,155182.673314,116024.102928
