year,Base case cost,Modeled non-residential energy efficiency
2017,1877688.05778,1704922.7192
2018,1929536.83792,1752690.36135
2019,2000643.73638,1819811.77334
2020,2036197.18561,1851473.14598
2021,2059899.4851,1871374.58936
2022,2077676.20972,1885439.54043
2023,2091008.75318,1895147.30521
2024,2101378.50921,1901977.23811
2025,2113229.65895,1910371.52936
2026,2129524.98985,1923291.02201
2027,2142857.53331,1933326.8484
2028,2153227.28934,1940477.15398
2029,2168041.22652,1952147.09681
2030,2175448.19511,1956483.75825
2031,2191743.52601,1969780.74246
