year,Base case diesel consumed,Modeled non-residential ashp
2017,20443.2333088,-23998.578232
2018,20443.2333088,-23998.578232
2019,20443.2333088,-23998.578232
2020,20443.2333088,-23998.578232
2021,20443.2333088,-23998.578232
2022,20443.2333088,-23998.578232
2023,20443.2333088,-23998.578232
2024,20443.2333088,-23998.578232
2025,20443.2333088,-23998.578232
2026,20443.2333088,-23998.578232
2027,20443.2333088,-23998.578232
2028,20443.2333088,-23998.578232
2029,20443.2333088,-23998.578232
2030,20443.2333088,-23998.578232
2031,20443.2333088,-23998.578232
