year,Base case diesel consumed,Modeled residential ashp
2017,39020.6913311,-201344.049828
2018,38655.7800525,-201708.961107
2019,38655.7800525,-201708.961107
2020,38473.3244132,-201891.416746
2021,38290.8687739,-202073.872385
2022,37925.9574953,-202438.783664
2023,37561.0462167,-202803.694943
2024,37196.1349381,-203168.606221
2025,36831.2236595,-203533.5175
2026,36466.3123809,-203898.428778
2027,36101.4011022,-204263.340057
2028,35736.4898236,-204628.251336
2029,35371.578545,-204993.162614
2030,35189.1229057,-205175.618254
2031,34824.2116271,-205540.529532
