year,Base case cost,Modeled wind power
2019,7003204.46273,7560645.06764
2020,7493140.5774,7827680.01066
2021,7810158.06337,7981425.90795
2022,8069358.47451,8098102.45479
2023,8270910.46616,8177847.30906
2024,8414632.70212,8220448.85558
2025,8587158.22443,8283372.98899
2026,8817491.94497,8385883.22297
2027,8989988.30132,8451155.91377
2028,9133656.64367,8498460.34716
2029,9334729.93316,8584865.01539
2030,9478158.60741,8634144.20768
2031,9679395.47989,8722874.98403
2032,9909202.94509,8831507.22374
2033,10139203.1592,8941351.15613
2034,10397757.481,9071031.73257
2035,10541074.5637,9125296.92569
2036,10799805.7834,9257075.10774
2037,10942839.4491,9312932.57561
2038,11172476.9909,9427161.33914
