year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,2881913.74,17442.2,1765880.25,795721.63
2018,2881913.74,17454.12,1765880.25,796704.23
2019,2881977.15,17465.57,1765880.25,797686.83
2020,2881977.15,17470.88,1765880.25,797686.83
2021,2881977.15,17461.66,1765880.25,797686.83
2022,2881913.74,17441.46,1765880.25,795721.63
2023,2881850.34,17412.91,1765880.25,793756.43
2024,2881723.53,17374.62,1765880.25,790808.62
2025,2881596.72,17330.38,1765880.25,786878.22
2026,2881533.32,17296.23,1765880.25,784913.02
2027,2881406.51,17251.69,1765880.25,780982.61
2028,2881279.7,17198.26,1765880.25,777052.21
2029,2881089.49,17134.94,1765880.25,772139.2
2030,2880899.27,17067.48,1765880.25,767226.2
2031,2880772.46,17001.77,1765880.25,762313.19
