year,Base case cost,Modeled water and wastewater efficiency
2017,114640.562822,285127.134741
2018,122405.52859,285723.130338
2019,133135.623171,288479.65798
2020,138206.704069,287434.40095
2021,141386.383941,285186.89162
2022,143880.196804,282568.093033
2023,145707.431658,279589.258116
2024,146855.958486,276239.424957
2025,148240.389164,273148.750922
2026,150289.526521,270613.468974
2027,151652.776896,267695.320889
2028,152635.98967,264603.672188
2029,154101.242746,261931.922341
2030,154935.288823,258909.600586
2031,156349.89396,256372.778663
