year,Base case diesel consumed,Modeled non-residential ashp
2017,243691.473997,-286072.59991
2018,243691.473997,-286072.59991
2019,243691.473997,-286072.59991
2020,243691.473997,-286072.59991
2021,243691.473997,-286072.59991
2022,243691.473997,-286072.59991
2023,243691.473997,-286072.59991
2024,243691.473997,-286072.59991
2025,243691.473997,-286072.59991
2026,243691.473997,-286072.59991
2027,243691.473997,-286072.59991
2028,243691.473997,-286072.59991
2029,243691.473997,-286072.59991
2030,243691.473997,-286072.59991
2031,243691.473997,-286072.59991
