year,Base case diesel consumed,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,2881977.14516,2748745.93425,2867461.86887,2720546.53677
2022,2881913.7409,2748682.53,2867398.46461,2720483.13252
2023,2881850.33664,2748619.12574,2867335.06036,2720419.72826
2024,2881723.52812,2748492.31722,2867208.25184,2720292.91974
2025,2881596.71961,2748365.5087,2867081.44332,2720166.11123
2026,2881533.31535,2748302.10445,2867018.03907,2720102.70697
2027,2881406.50683,2748175.29593,2866891.23055,2719975.89845
2028,2881279.69832,2748048.48741,2866764.42203,2719849.08994
2029,2881089.48554,2747858.27464,2866574.20926,2719658.87716
2030,2880899.27277,2747668.06187,2866383.99649,2719468.66439
2031,2880772.46425,2747541.25335,2866257.18797,2719341.85587
2032,2880582.25148,2747351.04058,2866066.9752,2719151.6431
2033,2880455.44296,2747224.23206,2865940.16668,2719024.83458
2034,2880265.23019,2747034.01929,2865749.95391,2718834.62181
2035,2880075.01741,2746843.80651,2865559.74113,2718644.40903
2036,2879948.2089,2746716.998,2865432.93261,2718517.60052
2037,2879694.59187,2746463.38096,2865179.31558,2718263.98348
2038,2879504.37909,2746273.16819,2864989.10281,2718073.77071
2039,2879314.16632,2746082.95542,2864798.89003,2717883.55794
2040,2879187.3578,2745956.1469,2864672.08152,2717756.74942
2041,2878997.14503,2745765.93413,2864481.86874,2717566.53665
2042,2878806.93225,2745575.72135,2864291.65597,2717376.32387
2043,2878616.71948,2745385.50858,2864101.4432,2717186.1111
2044,2878426.50671,2745195.2958,2863911.23042,2716995.89832
2045,2878236.29393,2745005.08303,2863721.01765,2716805.68555
2046,2878109.48542,2744878.27451,2863594.20913,2716678.87703
2047,2877919.27264,2744688.06174,2863403.99636,2716488.66426
2048,2877792.46412,2744561.25322,2863277.18784,2716361.85574
2049,2877665.65561,2744434.44471,2863150.37933,2716235.04723
2050,2877538.84709,2744307.63619,2863023.57081,2716108.23871
