year,Base case cost,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,7810158.06337,7828066.82981,7847806.77362,8538615.43507
2022,8069358.47451,8069008.24804,8104326.71952,8762007.80029
2023,8270910.46616,8254897.37221,8303497.28831,8931218.08985
2024,8414632.70212,8385548.82692,8445136.32399,9046052.55495
2025,8587158.22443,8543955.98549,8615479.96315,9188726.86535
2026,8817491.94497,8757908.0002,8843400.30101,9386765.68017
2027,8989988.30132,8916603.18092,9013779.1518,9530385.55013
2028,9133656.64367,9047835.29615,9155493.08514,9647116.11943
2029,9334729.93316,9234197.99567,9354378.2293,9818774.07497
2030,9478158.60741,9365485.84719,9495912.45084,9936172.75989
2031,9679395.47989,9552300.61037,9695019.72901,10108880.8054
2032,9909202.94509,9766613.24725,9922593.81523,10309118.7576
2033,10139203.1592,9981254.56009,10150388.2386,10509967.1651
2034,10397757.481,10223370.8137,10406631.6763,10738309.18
2035,10541074.5637,10355227.0922,10548192.3252,10857685.9839
2036,10799805.7834,10597776.466,10804664.6645,11086992.2728
2037,10942839.4491,10729599.5445,10945992.6813,11206854.5821
2038,11172476.9909,10944511.5016,11173552.9725,11409286.5121
2039,11373290.957,11131929.6893,11372445.6519,11584725.5871
2040,11660708.7991,11402431.1631,11657569.4706,11842717.097
2041,11659938.4374,11396975.9533,11655848.256,11827550.1017
2042,11659168.0756,11391630.5445,11654149.327,11812720.5272
2043,11658397.7139,11386392.3636,11652472.1613,11798220.4662
2044,11657627.3522,11381258.8972,11650816.2489,11784042.1949
2045,11656856.9904,11376227.6912,11649181.0915,11770178.1718
2046,11656343.4159,11371553.1357,11647822.99,11756877.818
2047,11655573.0542,11366719.3162,11646227.8949,11743620.3676
2048,11655059.4797,11362237.5211,11644908.9167,11730912.3703
2049,11654545.9052,11357848.7311,11643608.8152,11718490.1795
2050,11654032.3307,11353550.7665,11642327.1479,11706347.0973
