year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,5108.58,368564.0,368564.0
2004,,5108.58,400932.0,400932.0
2005,,5108.58,425477.0,425477.0
2006,,5108.58,575023.0,575023.0
2007,,5108.58,147270.0,147270.0
2008,,5108.58,371730.0,371730.0
2009,,5108.58,397353.0,397353.0
2010,,5108.58,410561.0,410561.0
2011,,5108.58,399871.0,399871.0
2012,,5108.58,392729.0,392729.0
2013,,5108.58,337511.0,337511.0
2014,start of forecast,5108.58,396000.0,396000.0
2015,,5108.58,397000.0,397000.0
2016,,5108.58,398000.0,398000.0
2017,,5108.58,398000.0,398000.0
2018,,5108.58,399000.0,399000.0
2019,,5108.58,399000.0,399000.0
2020,,5108.58,399000.0,399000.0
2021,,5108.58,399000.0,399000.0
2022,,5108.58,398000.0,398000.0
2023,,5108.58,398000.0,398000.0
2024,,5108.58,398000.0,398000.0
2025,,5108.58,397000.0,397000.0
2026,,5108.58,396000.0,396000.0
2027,,5108.58,396000.0,396000.0
2028,,5108.58,395000.0,395000.0
2029,,5108.58,394000.0,394000.0
2030,,5108.58,393000.0,393000.0
2031,,5108.58,392000.0,392000.0
2032,,5108.58,391000.0,391000.0
2033,,5108.58,389000.0,389000.0
2034,,5108.58,388000.0,388000.0
2035,,5108.58,386000.0,386000.0
2036,,5108.58,385000.0,385000.0
2037,,5108.58,384000.0,384000.0
2038,,5108.58,383000.0,383000.0
2039,,5108.58,381000.0,381000.0
2040,,5108.58,380000.0,380000.0
