year,Base case diesel consumed,Modeled non-residential ashp
2017,59918.5534377,41942.9874244
2018,59918.5534377,41942.9874244
2019,59918.5534377,41942.9874244
2020,59918.5534377,41942.9874244
2021,59918.5534377,41942.9874244
2022,59918.5534377,41942.9874244
2023,59918.5534377,41942.9874244
2024,59918.5534377,41942.9874244
2025,59918.5534377,41942.9874244
2026,59918.5534377,41942.9874244
2027,59918.5534377,41942.9874244
2028,59918.5534377,41942.9874244
2029,59918.5534377,41942.9874244
2030,59918.5534377,41942.9874244
2031,59918.5534377,41942.9874244
